   K_rel_freq       I(Ls)             I(Lm)             I(Cs)           BatteryIntensity    V(Lm)             V(Cs)             SOC               BatteryVoltage  
  7.500000000E-01  -2.488336574E+00  -2.488336724E+00  -2.488336574E+00   7.078116192E+01   1.431646638E+02  -3.869478022E+02   8.001396318E-01   2.598509878E+01 
  8.000000000E-01  -2.889443532E+00  -2.889443563E+00  -2.889443532E+00   5.119505665E+01   2.804012992E+01  -2.526233314E+02   8.001015035E-01   2.504477737E+01 
  8.500000000E-01  -2.988132215E+00  -2.988132159E+00  -2.988132215E+00   3.485308707E+01  -5.414275232E+01  -1.567402256E+02   8.000691764E-01   2.426020398E+01 
  9.000000000E-01  -2.931595086E+00  -2.931594967E+00  -2.931595086E+00   2.083133824E+01  -1.146335076E+02  -8.616944020E+01   8.000414346E-01   2.358702375E+01 
  9.500000000E-01  -2.787122517E+00  -2.787122349E+00  -2.787122517E+00   8.603113676E+00  -1.604154410E+02  -3.276169262E+01   8.000177705E-01   2.299995195E+01 
  1.000000000E+00  -2.564269331E+00  -2.564269139E+00  -2.564269331E+00   1.686854958E+00  -1.832910610E+02  -6.080421130E+00   8.000049036E-01   2.266790710E+01 
  1.050000000E+00  -2.395856864E+00  -2.395856668E+00  -2.395856864E+00   1.733223389E-01  -1.879322595E+02  -6.709456977E-01   8.000021875E-01   2.259524378E+01 
  1.100000000E+00  -2.257746893E+00  -2.257746697E+00  -2.257746893E+00  -2.257749543E-06  -1.884612895E+02  -5.805258984E-02   8.000018845E-01   2.258692265E+01 
  1.150000000E+00  -2.147650751E+00  -2.147650554E+00  -2.147650751E+00  -2.257749543E-06  -1.883292915E+02  -2.154860195E-01   8.000018808E-01   2.258692264E+01 
  1.200000000E+00  -2.044408141E+00  -2.044407944E+00  -2.044408141E+00  -2.257749543E-06  -1.888354998E+02   3.718688176E-01   8.000018779E-01   2.258692263E+01 
  1.250000000E+00  -1.942577352E+00  -1.942577156E+00  -1.942577352E+00  -2.257971587E-06  -1.877041157E+02  -9.512553462E-01   8.000018761E-01   2.258692262E+01 
